rank,utc,first_ts_us,last_ts_us,span_s,src,dst,service,dport,seg_src,seg_dst,n_flows,n_labelled_malicious,n_labelled_malicious_group,evalue,alerted_by_eLOND,alerted_by_ADDIS,label_says,E1_confirmed_compromise_host,E1_steps_within_15min,E1_sec_to_nearest_step,E2_src_is_attack_source,E2_dst_is_attack_target,E2_service_carries_attack,verdict,reason,human_verdict,human_notes
14290,2023-03-09 14:00:06,1678370406869169,1678376497994804,6091.125634908676,100.97.5.85,212.23.216.83,TLS,443,5g_dmz,,169,169,169,1802385.5147928994,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14296,2023-03-09 14:00:07,1678370407048018,1678376507330276,6100.282258033752,2a07:1182:0005:1001:0000:0000:0000:0008,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,570,570,570,1342340.5403508772,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14310,2023-03-09 14:00:07,1678370407451178,1678376508799993,6101.348814964294,2a07:1182:0005:1001:0000:0000:0000:0006,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,572,572,572,1103083.3426573426,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14315,2023-03-09 14:00:07,1678370407600572,1678370875380648,467.7800757884979,10.5.1.22,185.20.59.250,TLS,443,beg_int,,50,50,50,1740589.44,True,True,malicious,True,2,303.1843521595001,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14331,2023-03-09 14:00:08,1678370408064502,1678376509758543,6101.694041013718,2a07:1182:0005:1001:0000:0000:0000:0004,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,572,572,572,1106253.1223776224,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14384,2023-03-09 14:00:08,1678370408920149,1678376511452794,6102.532644987106,2a07:1182:0005:1001:0000:0000:0000:0007,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,570,570,570,1199199.9614035087,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14397,2023-03-09 14:00:09,1678370409332144,1678373247116289,2837.7841448783875,100.99.5.131,162.210.158.14,TLS,443,,,70,70,70,1787212.3714285714,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14410,2023-03-09 14:00:09,1678370409893658,1678373254422166,2844.5285081863403,100.99.5.132,162.210.158.14,TLS,443,,,135,135,135,1786253.0518518519,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14544,2023-03-09 14:00:13,1678370413354568,1678376499605673,6086.251105070114,10.5.8.36,100.101.1.193,Http,80,baf_int,,401,401,401,1813114.0,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14630,2023-03-09 14:00:15,1678370415452135,1678370455826297,40.37416195869446,100.99.5.133,212.23.216.83,,443,,,2,2,2,906557.0,True,True,malicious,False,1,722.7387030124664,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14636,2023-03-09 14:00:15,1678370415548131,1678370753690242,338.14211106300354,100.101.0.115,10.5.1.25,,54774,,beg_int,12,12,12,1359835.5,True,True,malicious,False,1,424.8747580051422,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14747,2023-03-09 14:00:18,1678370418048549,1678373937024960,3518.9764111042023,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0007,,22,,baf_int,30,30,30,1813114.0,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14755,2023-03-09 14:00:18,1678370418357436,1678373675665859,3257.3084230422974,2a02:7500:45e6:25fe:72e9:2989:6210:a106,2a07:1182:0005:1001:0000:0000:0000:0007,RDP,3389,,baf_int,55,55,55,857108.4363636364,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14768,2023-03-09 14:00:18,1678370418819191,1678373264441905,2845.6227140426636,100.99.5.133,162.210.158.14,TLS,443,,,134,134,134,1772521.8955223882,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14876,2023-03-09 14:00:22,1678370422690439,1678376502370649,6079.680210113525,100.96.5.5,10.5.1.2,LDAP,389,beg_dmz,beg_int,1078,0,0,11773.467532467532,True,True,benign,True,16,0.0,False,True,False,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14931,2023-03-09 14:00:25,1678370425473889,1678373565809043,3140.3351538181305,2a07:1182:0005:1001:0000:0000:0000:0008,2a02:7500:45e6:25fe:72e9:2989:6210:a106,RDP,48924,baf_int,,27,27,27,1343047.4074074074,True,True,malicious,False,13,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14942,2023-03-09 14:00:26,1678370426081863,1678376321662749,5895.580886125565,10.5.8.3,100.101.1.193,,80,baf_int,,192,192,192,1076536.4375,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14947,2023-03-09 14:00:26,1678370426223320,1678376484769016,6058.545696020126,10.5.11.27,212.23.216.83,TLS,443,baf_5g_core,,166,166,166,1802191.626506024,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14969,2023-03-09 14:00:27,1678370427013681,1678374009902521,3582.8888399600983,100.97.5.82,162.210.158.14,TLS,443,5g_dmz,,111,111,111,1813114.0,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15022,2023-03-09 14:00:30,1678370430044070,1678374026949982,3596.905911922455,10.5.11.21,162.210.158.14,TLS,443,baf_5g_core,,111,111,111,1796779.6396396395,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15110,2023-03-09 14:00:34,1678370434010241,1678374010201459,3576.1912178993225,100.97.5.90,162.210.158.14,TLS,443,5g_dmz,,111,111,111,1796779.6396396395,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15118,2023-03-09 14:00:34,1678370434152715,1678376499002957,6064.850242137909,10.5.11.10,212.23.216.83,TLS,443,baf_5g_core,,168,168,168,1780736.9642857143,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15123,2023-03-09 14:00:34,1678370434512541,1678373246088460,2811.5759189128876,100.99.5.131,212.23.216.83,TLS,443,,,69,69,69,1734282.956521739,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15132,2023-03-09 14:00:35,1678370435057322,1678376465681091,6030.623769044876,10.5.8.39,100.101.1.10,,443,baf_int,,41,41,41,796001.268292683,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15147,2023-03-09 14:00:35,1678370435837517,1678376468998364,6033.160846948624,100.96.5.5,10.5.1.3,krb5,88,beg_dmz,beg_int,1152,0,0,4721.651041666667,False,True,benign,True,16,0.0,False,True,False,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
15227,2023-03-09 14:00:40,1678370440313575,1678373946015434,3505.701858997345,2a07:1182:0005:1001:0000:0000:0000:0004,2a07:1182:0101:0000:0000:0000:0000:015d,RDP,52632,baf_int,,30,30,30,1390054.0666666667,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15424,2023-03-09 14:00:50,1678370450147728,1678373605088299,3154.9405710697174,2a02:7500:45e6:25fe:72e9:2989:6210:a106,2a07:1182:0005:1001:0000:0000:0000:0008,,22,,baf_int,27,27,27,1745961.6296296297,True,True,malicious,False,15,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15507,2023-03-09 14:00:58,1678370458202210,1678376446580015,5988.377804994583,10.5.1.29,100.101.1.10,,443,beg_int,,40,40,40,1178524.1,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15510,2023-03-09 14:00:58,1678370458666402,1678376468273471,6009.607069015503,100.101.0.115,10.5.8.31,,53018,,baf_int,120,120,120,1737567.5833333333,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
15562,2023-03-09 14:01:02,1678370462441571,1678376471523400,6009.081829071045,10.5.8.33,100.101.0.115,,80,baf_int,,54,54,54,1343047.4074074074,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15718,2023-03-09 14:01:10,1678370470622513,1678374024158869,3553.53635597229,2a02:7500:45e6:25fe:72e9:2989:6210:a106,2a07:1182:0005:0001:0000:0000:0000:003a,,22,,beg_int,60,60,60,1752676.8666666667,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15750,2023-03-09 14:01:11,1678370471459088,1678376472655805,6001.1967170238495,100.101.0.115,10.5.8.35,,50661,,baf_int,151,151,151,1729062.357615894,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
15850,2023-03-09 14:01:19,1678370479952766,1678372870192202,2390.239436149597,100.101.0.115,10.5.8.37,,54218,,baf_int,79,79,79,1744261.569620253,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
15991,2023-03-09 14:01:27,1678370487925711,1678373113977272,2626.0515611171722,100.101.0.115,10.5.8.38,,53868,,baf_int,22,22,22,1730699.7272727273,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
16012,2023-03-09 14:01:28,1678370488519285,1678376465717557,5977.198271989822,100.101.0.115,10.5.8.33,,56148,,baf_int,68,68,68,1706460.2352941176,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
16067,2023-03-09 14:01:31,1678370491020880,1678376471900652,5980.879771947861,100.101.0.115,10.5.8.40,,57956,,baf_int,32,32,32,1699794.375,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
16126,2023-03-09 14:01:35,1678370495066512,1678370745181205,250.11469292640686,100.101.0.115,10.5.1.23,,64427,,beg_int,3,3,3,1208742.6666666667,True,True,malicious,False,1,433.3837950229645,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
16198,2023-03-09 14:01:43,1678370503294536,1678374022270783,3518.9762468338013,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0002,,22,,baf_int,30,30,30,1752676.8666666667,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
16281,2023-03-09 14:01:49,1678370509439109,1678374028417190,3518.9780809879303,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0003,,22,,baf_int,30,30,30,1752676.8666666667,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
16470,2023-03-09 14:01:56,1678370516612193,1678374035586733,3518.9745399951935,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0005,,22,,baf_int,30,30,30,1752676.8666666667,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
23253,2023-03-09 14:28:39,1678372119605692,1678376513551625,4393.945933103561,2a07:1182:0005:2001:0000:0000:0000:0011,2a00:16e0:0e3e:9d8a:72d7:a0ec:baa0:996a,TLS,443,bob_int,,357,357,357,528190.0728291316,True,True,malicious,False,15,0.0,False,False,True,probably benign,no host indicator; targeted service does carry attack traffic elsewhere,,
23763,2023-03-09 14:32:05,1678372325400512,1678372373816946,48.41643404960632,10.5.1.30,185.20.59.250,TLS,443,beg_int,,7,7,7,1036065.1428571428,True,True,malicious,False,9,7.750053882598877,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
24273,2023-03-09 14:35:45,1678372545659253,1678376474454665,3928.7954120635986,10.5.8.35,100.101.0.115,,80,baf_int,,91,91,91,1295081.4285714286,True,True,malicious,False,15,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
26766,2023-03-09 14:53:40,1678373620826813,1678376487002660,2866.175847053528,2a07:1182:0005:1001:0000:0000:0000:0004,2a07:1182:0101:0000:0000:0000:0000:0032,TLS,443,baf_int,,13,0,0,139470.3076923077,True,True,benign,False,9,0.0,True,False,True,probably malicious,"one endpoint carries attack traffic, concurrent with red-team steps",,
27607,2023-03-09 15:11:01,1678374661108109,1678376218176895,1557.068785905838,10.5.8.31,100.101.0.115,,80,baf_int,,34,34,34,1013210.7647058824,True,True,malicious,True,4,142.0581090450287,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
27704,2023-03-09 15:11:02,1678374662472607,1678376096736564,1434.2639570236206,10.5.8.40,100.101.0.115,,80,baf_int,,14,14,14,1165573.2857142857,True,True,malicious,False,4,143.42260694503784,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
27820,2023-03-09 15:11:06,1678374666091077,1678376515216815,1849.1257379055023,10.5.1.3,100.101.1.32,TLS,443,beg_int,,563,0,0,109495.33925399644,True,True,benign,False,4,147.0410771369934,True,False,True,probably malicious,"one endpoint carries attack traffic, concurrent with red-team steps",,
27983,2023-03-09 15:11:44,1678374704806268,1678376513456600,1808.6503319740295,10.5.8.5,109.48.0.30,,80,baf_int,,190,190,190,1803571.2947368422,True,True,malicious,True,4,185.75626802444458,True,False,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
28006,2023-03-09 15:11:56,1678374716256346,1678376506494186,1790.23783993721,10.5.1.2,100.101.1.24,TLS,443,beg_int,,188,0,0,9644.22340425532,True,True,benign,True,4,197.20634603500366,True,False,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
28018,2023-03-09 15:11:59,1678374719893734,1678376500528259,1780.6345250606537,100.97.5.90,212.23.216.83,TLS,443,5g_dmz,,58,58,58,1813114.0,True,True,malicious,False,4,200.8437340259552,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
28024,2023-03-09 15:12:04,1678374724252755,1678376504083993,1779.8312380313873,100.97.5.88,162.210.158.14,TLS,443,5g_dmz,,57,57,57,1813114.0,True,True,malicious,False,4,205.20275497436523,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
28051,2023-03-09 15:12:40,1678374760911785,1678376481948455,1721.0366702079773,2a07:1182:0005:1002:0000:0000:0000:0021,2a01:4d40:1f10:34ad:0dc8:3d9b:60db:84a6,TLS,443,baf_5g_core,,57,57,57,1685877.9298245613,True,True,malicious,False,4,241.86178493499756,False,True,True,probably malicious,"one endpoint carries attack traffic, concurrent with red-team steps",,
28067,2023-03-09 15:12:55,1678374775621781,1678376493131213,1717.5094318389893,2a07:1182:0005:100a:0000:0000:0000:0082,2a01:4d40:1f10:34ad:0dc8:3d9b:60db:84a6,TLS,443,5g_dmz,,55,55,55,1714216.8727272728,True,True,malicious,False,4,256.57178115844727,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
